ymd,country,cc
20200101,Brazil,2
20200101,Iceland,1
20200101,India,26
20200101,Indonesia,4
20200101,Japan,1
20200101,Malaysia,12
20200101,Maldives,1
20200101,Morocco,1
20200101,Philippines,2
20200101,Russia,1
20200101,United States,4
20200102,Brazil,2
20200102,China,1
20200102,Finland,1
20200102,India,32
20200102,Indonesia,10
20200102,Italy,3
20200102,Japan,1
20200102,Malaysia,4
20200102,Morocco,1
20200102,Netherlands,2
20200102,Philippines,1
20200102,Portugal,3
20200102,Russia,3
20200102,Sint Maarten,1
20200102,Spain,1
20200102,Thailand,1
20200102,United States,3
20200102,United Arab Emirates,2
20200102,United Kingdom,5
20200103,Brazil,7
20200103,Canada,1
20200103,Denmark,1
20200103,Finland,2
20200103,France,1
20200103,Greece,1
20200103,India,60
20200103,Indonesia,2
20200103,Italy,7
20200103,Malaysia,18
20200103,Morocco,2
20200103,Netherlands,2
20200103,Philippines,1
20200103,Portugal,2
20200103,Russia,3
20200103,Saudi Arabia,1
20200103,Spain,2
20200103,Turkey,1
20200103,United States,20
20200103,United Arab Emirates,1
20200103,United Kingdom,3
20200103,Vietnam,1
20200104,Australia,1
20200104,Austria,1
20200104,Brazil,4
20200104,France,4
20200104,Greece,1
20200104,India,105
20200104,Indonesia,11
20200104,Italy,6
20200104,Japan,2
20200104,Malaysia,14
20200104,Mexico,3
20200104,Philippines,3
20200104,Portugal,4
20200104,Russia,6
20200104,Spain,3
20200104,United States,6
20200104,United Kingdom,7
20200105,Belgium,2
20200105,Brazil,4
20200105,Dominican Republic,3
20200105,France,1
20200105,Germany,3
20200105,India,51
20200105,Indonesia,4
20200105,Japan,3
20200105,Malaysia,14
20200105,New Zealand,1
20200105,Philippines,5
20200105,Portugal,2
20200105,Russia,3
20200105,Spain,1
20200105,Thailand,1
20200105,Turkey,1
20200105,United States,20
20200105,United Arab Emirates,1
20200105,United Kingdom,5
20200106,Australia,2
20200106,Austria,1
20200106,Brazil,11
20200106,Canada,3
20200106,Cyprus,1
20200106,Dominican Republic,1
20200106,France,2
20200106,India,84
20200106,Indonesia,8
20200106,Ireland,2
20200106,Italy,2
20200106,Japan,2
20200106,Malaysia,17
